candidate,threshold,accuracy,prec_deceptive,recall_deceptive,f1_deceptive,prec_genuine,recall_genuine,f1_genuine,f1_macro,tn,fp,fn,tp
Word TF-IDF + LogisticRegression,0.3,0.7734754797441364,0.7987454260324098,0.9126747103094015,0.8519179304192686,0.6615740740740741,0.42605843768634466,0.5183170112441059,0.6851174708316872,1429,1925,731,7640
Word TF-IDF + LogisticRegression,0.35,0.7692963752665245,0.8133156381331563,0.8785091386931072,0.8446562912766324,0.6209467014535968,0.49672033392963627,0.5519297664402849,0.6982930288584587,1666,1688,1017,7354
Word TF-IDF + LogisticRegression,0.4,0.7623027718550106,0.8311195445920304,0.837175964639828,0.8341367612926264,0.5860917096872154,0.5754323196183662,0.5807131036557845,0.7074249324742055,1930,1424,1363,7008
Word TF-IDF + LogisticRegression,0.45,0.7457569296375266,0.8450704225352113,0.7884362680683311,0.8157715839564922,0.5476372924648787,0.6392367322599881,0.5899023249415325,0.7028369544490123,2144,1210,1771,6600
Word TF-IDF + LogisticRegression,0.5,0.7271641791044776,0.8598664069023101,0.738143590968821,0.7943690942983865,0.5170742454285084,0.6997614788312463,0.5947041682503484,0.6945366312743675,2347,1007,2192,6179
Word TF-IDF + LogisticRegression,0.55,0.6996162046908315,0.8712295207472056,0.6797276311073945,0.7636558851160918,0.4838274932614555,0.7492546213476446,0.5879737950397754,0.6758148400779336,2513,841,2681,5690
Word TF-IDF + LogisticRegression,0.6,0.6686567164179105,0.8864576154376292,0.6146219089714491,0.725925925925926,0.4551596014186793,0.8035181872391175,0.5811320754716981,0.653529000698812,2695,659,3226,5145
Word TF-IDF + LogisticRegression,0.65,0.6281449893390192,0.9005392450569203,0.5386453231394098,0.6740917924951413,0.42512652575171184,0.851520572450805,0.5671167593328038,0.6206042759139725,2856,498,3862,4509
Word TF-IDF + LogisticRegression,0.7,0.5806396588486141,0.9113863744640305,0.45705411539839924,0.6087994271620654,0.3961737744121164,0.889087656529517,0.5481113868210642,0.5784554069915648,2982,372,4545,3826
Word TF-IDF + MultinomialNB (default prior),0.3,0.7165884861407249,0.7165408373369938,0.9977302592282882,0.8340740000998652,0.7246376811594203,0.01490757304710793,0.029214139643587496,0.4316440698717264,50,3304,19,8352
Word TF-IDF + MultinomialNB (default prior),0.35,0.7187206823027719,0.7190225369139107,0.9947437582128777,0.8347032878909383,0.6944444444444444,0.02981514609421586,0.05717552887364208,0.4459394083822902,100,3254,44,8327
Word TF-IDF + MultinomialNB (default prior),0.4,0.7223880597014926,0.7235232436211115,0.9891291363039063,0.8357305071915215,0.6761565836298933,0.056648777579010136,0.10453920220082531,0.47013485469617344,190,3164,91,8280
Word TF-IDF + MultinomialNB (default prior),0.45,0.7281023454157782,0.7302532207907597,0.9818420738263051,0.8375624172016712,0.676595744680851,0.09481216457960644,0.16631799163179917,0.5019402044167351,318,3036,152,8219
Word TF-IDF + MultinomialNB (default prior),0.5,0.7359488272921109,0.7408895789569824,0.9690598494803488,0.8397515527950311,0.6662371134020618,0.154144305307096,0.250363196125908,0.5450573744604695,517,2837,259,8112
Word TF-IDF + MultinomialNB (default prior),0.55,0.7408955223880597,0.754073368270605,0.9454067614382989,0.8389695748966395,0.6284552845528455,0.2304710793082886,0.33726003490401396,0.5881148049003267,773,2581,457,7914
Word TF-IDF + MultinomialNB (default prior),0.6,0.7429424307036248,0.772122320430763,0.9078963086847449,0.8345228944767761,0.5903294367693943,0.3312462731067382,0.42436974789915966,0.6294463211879678,1111,2243,771,7600
Word TF-IDF + MultinomialNB (default prior),0.65,0.7362899786780384,0.7961404689778975,0.8476884482140724,0.8211062254107846,0.5465860597439545,0.4582587954680978,0.49854038274408047,0.6598233040774325,1537,1817,1275,7096
Word TF-IDF + MultinomialNB (default prior),0.7,0.7084861407249466,0.8230076953175949,0.7537928562895712,0.7868811572515276,0.492114342040414,0.5954084675014908,0.5388559093362115,0.6628685332938695,1997,1357,2061,6310
Word TF-IDF + MultinomialNB (uniform prior),0.3,0.7408955223880597,0.7478390184961428,0.9611754867996655,0.8411918452692106,0.6635610766045549,0.19111508646392367,0.2967592592592593,0.568975552264235,641,2713,325,8046
Word TF-IDF + MultinomialNB (uniform prior),0.35,0.7426012793176973,0.7637205636023253,0.9259347748178235,0.8370410367170626,0.6065989847715736,0.28503279666070364,0.38782961460446247,0.6124353256607625,956,2398,620,7751
Word TF-IDF + MultinomialNB (uniform prior),0.4,0.7384221748400853,0.7846715328467153,0.873252896905985,0.826595804828405,0.5595682855956828,0.4019081693500298,0.46781190352247093,0.6472038541754379,1348,2006,1061,7310
Word TF-IDF + MultinomialNB (uniform prior),0.45,0.7235820895522388,0.8087385652383245,0.8026520129016844,0.8056837939924456,0.5165349721978344,0.52623732856291,0.5213410131442918,0.6635124035683687,1765,1589,1652,6719
Word TF-IDF + MultinomialNB (uniform prior),0.5,0.693816631130064,0.8375935602316057,0.7085175008959503,0.7676676158426093,0.47459086993970717,0.6571258199165176,0.5511377844461115,0.6594027001443604,2204,1150,2440,5931
Word TF-IDF + MultinomialNB (uniform prior),0.55,0.6492110874200426,0.8709059233449478,0.5971807430414526,0.7085252639784565,0.43659147869674186,0.7790697674418605,0.55958882107292,0.6340570425256882,2613,741,3372,4999
Word TF-IDF + MultinomialNB (uniform prior),0.6,0.5824307036247335,0.8915934189767861,0.47258392067853305,0.617738913179263,0.3942096597145993,0.8565891472868217,0.5399361022364217,0.5788375077078424,2873,481,4415,3956
Word TF-IDF + MultinomialNB (uniform prior),0.65,0.5059275053304904,0.9097266369993643,0.3418946362441763,0.4970044282365199,0.357850565333955,0.915324985092427,0.5145395122768792,0.5057719702566996,3070,284,5509,2862
